,trigram,trigram_d_freq,trigram_r_freq,trigram_total
334,abl live decent,1,1,2
335,abl live home,1,1,2
336,abl look back,2,3,5
337,abl lot thing,1,1,2
338,abl lower cost,2,1,3
339,abl make decis,6,8,14
340,abl make end,4,1,5
341,abl make good,1,1,2
342,abl make inform,3,1,4
343,abl make mark,1,1,2
344,abl make mortgag,4,1,5
345,abl make progress,3,2,5
346,abl make sure,9,3,12
347,abl make thing,1,2,3
348,abl make unit,1,1,2
349,abl meet demand,2,2,4
350,abl meet energi,1,1,2
351,abl meet goal,1,1,2
352,abl meet need,5,2,7
353,abl meet oblig,1,2,3
354,abl meet talk,1,1,2
355,abl member senat,1,2,3
356,abl move bill,2,4,6
357,abl move expediti,1,1,2
358,abl move forward,28,11,39
359,abl move product,1,1,2
360,abl move vote,1,1,2
361,abl mr chairman,1,1,2
362,abl mr speaker,1,1,2
363,abl obtain health,1,1,2
364,abl obtain nuclear,1,1,2
365,abl offer amend,32,23,55
366,abl offer servic,1,1,2
367,abl overcom obstacl,1,1,2
368,abl particip fulli,1,1,2
369,abl particip process,1,2,3
370,abl pass along,1,1,2
371,abl pass bill,9,6,15
372,abl pass bipartisan,2,1,3
373,abl pass immigr,1,1,2
374,abl pass legisl,3,6,9
375,abl pass senat,3,1,4
376,abl pay back,3,4,7
377,abl pay bill,10,3,13
378,abl pay full,3,1,4
379,abl pay health,2,1,3
380,abl pay medic,1,1,2
381,abl pay mortgag,7,1,8
382,abl pay premium,1,1,2
383,abl pay tax,2,1,3
384,abl pay tribut,2,1,3
385,abl pay util,1,1,2
386,abl perform job,1,1,2
387,abl plan futur,5,1,6
388,abl play role,1,2,3
389,abl proceed bill,1,1,2
390,abl process claim,2,1,3
391,abl produc nuclear,1,1,2
392,abl produc whether,1,1,2
393,abl protect american,3,1,4
394,abl protect famili,1,1,2
395,abl protect us,1,1,2
396,abl prove wrong,1,1,2
397,abl provid addit,2,1,3
398,abl provid basic,1,1,2
399,abl provid famili,7,5,12
400,abl provid health,2,1,3
401,abl provid help,3,1,4
402,abl provid kind,1,1,2
403,abl provid million,1,2,3
404,abl provid servic,8,5,13
405,abl purchas coverag,1,1,2
406,abl purchas insur,1,2,3
407,abl put asid,2,4,6
408,abl put money,1,1,2
409,abl put partisanship,1,1,2
410,abl put place,1,2,3
411,abl put togeth,7,5,12
412,abl quickli ramp,1,1,2
413,abl rais famili,4,1,5
414,abl reach agreement,3,8,11
415,abl reach bipartisan,1,1,2
416,abl reach compromis,3,2,5
417,abl receiv benefit,1,3,4
418,abl receiv care,1,1,2
419,abl receiv fund,1,1,2
420,abl receiv health,1,1,2
421,abl receiv scholarship,1,1,2
422,abl remain open,1,1,2
423,abl repres constitu,1,1,2
424,abl repres state,1,1,2
425,abl return home,2,1,3
426,abl return job,1,1,2
427,abl save buy,1,1,2
428,abl save enough,3,2,5
429,abl save per,1,1,2
430,abl say m,1,1,2
431,abl say well,1,1,2
432,abl say word,1,3,4
433,abl see doctor,7,3,10
434,abl see happen,1,1,2
435,abl see home,1,1,2
436,abl see memori,1,1,2
437,abl seek help,1,1,2
438,abl send kid,3,1,4
439,abl set asid,3,1,4
440,abl set prioriti,1,1,2
441,abl share wealth,1,1,2
442,abl shop health,2,1,3
443,abl sign exchang,1,1,2
444,abl sign next,1,2,3
445,abl solv problem,1,2,3
446,abl speak issu,1,2,3
447,abl spend money,2,4,6
448,abl spend time,3,3,6
449,abl start busi,1,2,3
450,abl stay countri,3,1,4
451,abl stay home,6,3,9
452,abl stay parent,23,1,24
453,abl stay unit,2,2,4
454,abl support amend,1,1,2
455,abl support bill,3,3,6
456,abl support famili,15,2,17
457,abl sustain power,1,1,2
458,abl switch around,1,1,2
459,abl take advantag,14,5,19
460,abl take away,1,7,8
461,abl take care,15,6,21
462,abl take job,2,4,6
463,abl take look,1,1,2
464,abl take part,6,1,7
465,abl take senat,1,1,2
466,abl take time,1,2,3
467,abl take us,2,2,4
468,abl take vote,1,1,2
469,abl tell constitu,2,1,3
470,abl thing want,1,2,3
471,abl thing would,2,1,3
472,abl turn back,1,1,2
473,abl unlock phone,1,2,3
474,abl use feder,1,1,2
475,abl use kind,1,1,2
476,abl use money,3,2,5
477,abl verifi whether,1,1,2
478,abl visit see,2,1,3
479,abl voic heard,2,1,3
480,abl vote amend,1,1,2
481,abl vote bill,2,1,3
482,abl vote final,1,4,5
483,abl vote present,1,1,2
484,abl vote today,3,2,5
485,abl vote would,5,3,8
486,abl wear uniform,1,1,2
487,abl wit firsthand,1,1,2
488,abl work abl,1,2,3
489,abl work agreement,1,1,2
490,abl work america,2,3,5
491,abl work bipartisan,5,2,7
492,abl work busi,1,1,2
493,abl work chairman,1,2,3
494,abl work close,2,1,3
495,abl work colleagu,3,2,5
496,abl work committe,1,1,2
497,abl work compet,1,1,2
498,abl work full,1,1,2
499,abl work hard,2,1,3
500,abl work hour,1,4,5
501,abl work know,1,1,2
502,abl work month,1,1,2
503,abl work number,1,1,2
504,abl work put,1,1,2
505,abl work senat,3,3,6
506,abl work togeth,16,23,39
507,abl work unit,1,1,2
508,abl work way,3,1,4
509,abl would like,1,2,3
510,abl write check,1,1,2
511,ablebodi adult without,4,3,7
512,ablebodi peopl work,1,2,3
513,abli led senat,1,1,2
514,aboard british prison,1,1,2
515,aboard coast guard,1,4,5
516,aboard uss frank,2,4,6
517,abolish independ payment,1,1,2
518,abolish intern revenu,1,2,3
519,abolish medic devic,1,1,2
520,abolish right debat,1,1,2
521,abolish unit state,1,1,2
522,abolitionist frederick douglass,2,1,3
523,abort abort insur,1,5,6
524,abort act bill,1,1,2
525,abort afford care,3,1,4
526,abort ca nt,1,3,4
527,abort case rape,1,1,2
528,abort coverag aca,1,1,2
529,abort coverag health,2,1,3
530,abort coverag privat,2,1,3
531,abort coverag would,2,1,3
532,abort except case,3,5,8
533,abort insur full,1,6,7
534,abort unit state,1,6,7
535,abort urg colleagu,1,1,2
536,abort week pregnanc,1,3,4
537,abraham lincoln believ,1,1,2
538,abraham lincoln call,1,2,3
539,abraham lincoln first,1,1,2
540,abraham lincoln gave,1,4,5
541,abraham lincoln go,1,1,2
542,abraham lincoln high,1,1,2
543,abraham lincoln martin,1,1,2
544,abraham lincoln men,1,1,2
545,abraham lincoln said,1,8,9
546,abraham lincoln say,1,1,2
547,abraham lincoln sign,11,6,17
548,abraham lincoln spoke,1,1,2
549,abram margaret coulter,1,1,2
550,abroad come back,1,1,2
551,abroad includ activ,1,1,2
552,abroad mr speaker,4,3,7
553,abroad urg colleagu,1,2,3
554,abroad vital part,1,1,2
555,absenc quorum ask,23,4,27
556,absenc quorum presid,7,4,11
557,absenc quorum time,4,1,5
558,absenc quorum yield,1,1,2
559,absent attend funer,9,1,10
560,absent congression action,5,2,7
561,absent due death,5,18,23
562,absent due ill,3,21,24
563,absent extraordinari circumst,2,2,4
564,absent follow vote,5,1,6
565,absent hous chamber,19,1,20
566,absent hous miss,7,3,10
567,absent hous repres,1,2,3
568,absent present would,4,2,6
569,absent rollcal vote,9,1,10
570,absent travel delay,1,1,2
571,absent unit state,1,1,2
572,absent vote hous,3,2,5
573,absolut absurd nt,1,1,2
574,absolut agre senat,3,1,4
575,absolut clear author,1,1,2
576,absolut clear countri,1,1,2
577,absolut correct matter,1,1,2
578,absolut critic function,1,1,2
579,absolut critic go,1,1,2
580,absolut critic import,1,1,2
581,absolut critic make,1,1,2
582,absolut devast happen,1,1,2
583,absolut drag economi,1,1,2
584,absolut essenti hous,2,2,4
585,absolut essenti manufactur,1,1,2
586,absolut essenti strong,1,1,2
587,absolut essenti us,1,1,2
588,absolut line unpreced,2,1,3
589,absolut must requir,1,1,2
590,absolut necessari ensur,1,1,2
591,absolut need time,2,1,3
592,absolut noth address,2,1,3
593,absolut noth even,1,1,2
594,absolut noth help,1,1,2
595,absolut noth want,1,1,2
596,absolut noth whether,1,1,2
597,absolut outrag know,1,1,2
598,absolut outrag would,1,1,2
599,absolut principl substitut,1,1,2
600,absolut reason ca,1,1,2
601,absolut reason nt,1,1,2
602,absolut respons make,1,1,2
603,absolut right bill,2,1,3
604,absolut right defend,2,1,3
605,absolut right need,3,1,4
606,absolut right peopl,1,1,2
607,absolut right presid,2,1,3
608,absolut right think,3,1,4
609,absolut right want,1,1,2
610,absolut sens let,3,1,4
611,absolut true mani,1,1,2
612,absolut unaccept think,1,1,2
613,absolut vital mission,1,1,2
614,absolut wrong cours,1,1,2
615,absorb cost cost,1,1,2
616,absorb cost famili,1,1,2
617,abu bakr albaghdadi,1,1,2
618,abu ghaith osama,2,1,3
619,abujam death sentenc,1,2,3
620,abund afford domest,1,1,2
621,abund afford food,2,1,3
622,abund domest energi,1,3,4
623,abund energi resourc,2,5,7
624,abund food suppli,3,4,7
625,abund natur beauti,1,1,2
626,abund natur ga,4,14,18
627,abund natur resourc,3,11,14
628,abund outdoor activ,1,1,2
629,abund resourc natur,1,1,2
630,abund safest food,2,2,4
631,abund sourc energi,1,2,3
632,abund unit state,1,1,2
633,abundantli clear would,1,1,2
634,abus abandon children,1,1,2
635,abus afford care,3,1,4
636,abus awar month,2,1,3
637,abus basic human,1,1,2
638,abus children school,1,1,2
639,abus costli litig,1,1,2
640,abus domest violenc,4,2,6
641,abus emin domain,2,1,3
642,abus everi year,2,1,3
643,abus execut power,1,5,6
644,abus feder govern,1,4,5
645,abus feder regul,1,1,2
646,abus filibust delay,1,1,2
647,abus food stamp,4,5,9
648,abus govern program,1,1,2
649,abus h1b visa,1,1,2
650,abus health care,1,1,2
651,abus human right,1,5,6
652,abus human traffick,2,1,3
653,abus incest nation,1,5,6
654,abus last year,2,2,4
655,abus law enforc,1,1,2
656,abus legal system,1,1,2
657,abus make sure,3,1,4
658,abus medicar program,3,1,4
659,abus mental health,12,4,16
660,abus mother tri,3,2,5
661,abus mr speaker,1,3,4
662,abus must stop,1,3,4
663,abus need stop,1,1,2
664,abus neglect children,8,2,10
665,abus neglect home,1,1,2
666,abus new power,2,1,3
667,abus offshor tax,1,1,2
668,abus one mani,1,1,2
669,abus patent lawsuit,1,2,3
670,abus patent litig,1,7,8
671,abus patent system,2,1,3
672,abus power home,1,3,4
673,abus power ir,1,3,4
674,abus power let,1,1,2
675,abus power part,1,1,2
676,abus practic system,2,1,3
677,abus practic use,1,1,2
678,abus prescript drug,3,2,5
679,abus prevent act,1,1,2
680,abus prevent program,2,2,4
681,abus prevent treatment,4,1,5
682,abus purpos amend,1,1,2
683,abus reduct act,4,10,14
684,abus resist educ,2,1,3
685,abus restor american,2,1,3
686,abus senat rule,8,6,14
687,abus seriou problem,1,1,2
688,abus sexual assault,2,3,5
689,abus snap program,4,2,6
690,abus supplement nutrit,1,1,2
691,abus take place,3,3,6
692,abus tax code,1,4,5
693,abus taxpay dollar,2,2,4
694,abus taxpay money,1,1,2
695,abus tea parti,1,1,2
696,abus unsanitari illeg,3,3,6
697,abus wall street,3,1,4
698,abus well document,1,1,2
699,abus young girl,1,2,3
700,aca afford care,5,4,9
701,aca definit fulltim,1,4,5
702,aca health care,3,2,5
703,aca nt make,1,1,2
704,aca reduc total,1,1,2
705,aca sign law,1,1,2
706,academ achiev also,2,3,5
707,academ achiev well,1,1,2
708,academ athlet music,1,1,2
709,academ excel achiev,1,1,2
710,academ excel center,1,1,2
711,academ excel development,3,1,4
712,academ excel global,1,1,2
713,academ excel leadership,1,3,4
714,academ excel school,1,1,2
715,academ extracurricular activ,5,2,7
716,academ life success,2,1,3
717,academ medic center,3,1,4
718,academ program offer,1,1,2
719,academ studi found,1,1,2
720,academi advisori board,2,1,3
721,academi advisori committe,1,1,2
722,academi air forc,1,4,5
723,academi allergi asthma,1,1,2
724,academi alumni associ,2,1,3
725,academi annapoli maryland,1,6,7
726,academi annapoli md,1,1,2
727,academi art scienc,2,3,5
728,academi charter school,2,1,3
729,academi colorado spring,1,7,8
730,academi dermatolog associ,1,1,2
731,academi engin nae,1,1,2
732,academi famili physician,6,3,9
733,academi gener shelton,1,1,2
734,academi graduat class,1,1,2
735,academi high school,1,2,3
736,academi institut medicin,1,1,2
737,academi militari scienc,2,1,3
738,academi mr speaker,2,17,19
739,academi naval academi,1,3,4
740,academi naval war,1,1,2
741,academi nomin process,1,6,7
742,academi ophthalmolog american,1,1,2
743,academi pediatr american,3,1,4
744,academi pediatr half,1,1,2
745,academi physic medicin,1,1,2
746,academi preparatori school,1,2,3
747,academi review board,1,9,10
748,academi scienc nation,1,1,2
749,academi scienc report,2,2,4
750,academi scienc said,2,1,3
751,academi serv combat,1,1,2
752,academi serv firefight,1,1,2
753,academi televis art,2,1,3
754,academi west point,12,33,45
755,academia privat sector,1,3,4
756,acadia nation park,3,6,9
757,acc tournament championship,2,1,3
758,acc tournament titl,3,1,4
759,acceler depreci schedul,1,1,2
760,acceler econom growth,9,3,12
761,acceler econom recoveri,2,1,3
762,acceler job growth,4,1,5
763,acceler middlegrad reform,1,2,3
764,acceler next year,1,2,3
765,acceler project deliveri,1,2,3
766,acceler research center,1,1,2
767,accent garner attent,1,1,2
768,accept afford care,3,1,4
769,accept amend colleagu,1,1,2
770,accept amend could,1,1,2
771,accept amend farm,1,1,2
772,accept amend mr,1,1,2
773,accept amend nt,1,1,2
774,accept amend offer,2,1,3
775,accept amend voic,2,1,3
776,accept amend yield,3,14,17
777,accept american peopl,1,6,7
778,accept challeng serv,1,1,2
779,accept everi amend,2,1,3
780,accept feder dollar,1,1,2
781,accept feder fund,1,2,3
782,accept final agreement,1,1,2
783,accept five immigr,1,1,2
784,accept health insur,1,1,2
785,accept job offer,1,2,3
786,accept last year,1,2,3
787,accept letter univers,2,1,3
788,accept major part,1,1,2
789,accept medic school,1,1,2
790,accept medic use,2,1,3
791,accept medicar patient,1,2,3
792,accept mr presid,1,2,3
793,accept new norm,1,2,3
794,accept new patient,2,3,5
795,accept new respons,1,1,2
796,accept new york,1,1,2
797,accept nucleararm iran,3,2,5
798,accept path forward,1,1,2
799,accept person respons,2,1,3
800,accept point much,1,1,2
801,accept posit chief,1,1,2
802,accept posit execut,1,2,3
803,accept posit senior,3,1,4
804,accept public comment,1,1,2
805,accept republican accept,1,1,2
806,accept republican democrat,1,1,2
807,accept scholarship play,1,1,2
808,accept senat bill,2,1,3
809,accept side aisl,2,1,3
810,accept standard digniti,1,2,3
811,accept statu quo,8,5,13
812,accept unanim consent,1,2,3
813,accept unit state,1,1,2
814,accept us govern,1,1,2
815,accept virtual everi,1,1,2
816,accept voic vote,11,17,28
817,accept volunt emerg,2,2,4
818,accept way negoti,1,1,2
819,accept would vote,1,1,2
820,accept yield floor,3,1,4
821,access afford american,2,2,4
822,access afford care,15,5,20
823,access afford coverag,8,2,10
824,access afford educ,4,2,6
825,access afford health,45,11,56
826,access afford higher,3,1,4
827,access afford highqual,2,2,4
828,access afford hous,2,3,5
829,access afford insur,4,2,6
830,access afford mortgag,1,3,4
831,access afford privat,1,1,2
832,access afford qualiti,17,10,27
833,access american dream,5,1,6
834,access american peopl,3,2,5
835,access basic servic,1,1,2
836,access benefit afford,1,1,2
837,access benefit earn,3,1,4
838,access best possibl,1,1,2
839,access better qualiti,2,1,3
840,access bill requir,1,1,2
841,access birth control,22,5,27
842,access cape hattera,1,3,4
843,access capit invest,2,1,3
844,access capit small,2,1,3
845,access care act,6,13,19
846,access care choic,8,3,11
847,access care cost,1,1,2
848,access care improv,1,1,2
849,access care mani,1,1,2
850,access care medicaid,1,1,2
851,access care nation,1,1,2
852,access care need,9,6,15
853,access care nt,1,1,2
854,access care past,1,1,2
855,access care put,1,1,2
856,access care senior,2,4,6
857,access care veteran,1,4,5
858,access care without,2,2,4
859,access certain financi,1,1,2
860,access certain inform,1,1,2
861,access charter school,1,1,2
862,access child care,2,1,3
863,access chip reauthor,8,6,14
864,access choic account,6,6,12
865,access classifi document,1,2,3
866,access classifi inform,4,9,13
867,access classifi materi,2,2,4
868,access clean drink,1,1,2
869,access clean water,12,6,18
870,access commun garden,1,1,2
871,access commun mental,2,1,3
872,access commun neighborhood,1,1,2
873,access compound drug,1,1,2
874,access critic lifesav,2,1,3
875,access critic resourc,3,1,4
876,access critic servic,4,3,7
877,access crop insur,2,1,3
878,access death master,6,2,8
879,access direct servic,1,1,2
880,access doctor health,1,2,3
881,access educ educ,2,1,3
882,access educ mani,1,1,2
883,access educ system,1,1,2
884,access educ train,3,1,4
885,access educ young,1,1,2
886,access effect drug,2,4,6
887,access elect offici,1,1,2
888,access emerg servic,1,1,2
889,access equip need,1,1,2
890,access essenti health,2,1,3
891,access european union,1,1,2
892,access feder benefit,6,1,7
893,access feder forest,1,1,2
894,access feder land,4,9,13
895,access feder navig,3,2,5
896,access feder surplu,4,5,9
897,access financi servic,2,2,4
898,access food need,2,1,3
899,access foreign market,3,4,7
900,access fresh food,2,1,3
901,access full rang,2,1,3
902,access global marketplac,1,1,2
903,access good qualiti,4,4,8
904,access good school,2,2,4
905,access govern servic,3,2,5
906,access head start,9,3,12
907,access health care,160,78,238
908,access health connecticut,1,1,2
909,access health coverag,5,2,7
910,access health ct,2,2,4
911,access health insur,34,9,43
912,access health plan,1,1,2
913,access health servic,7,1,8
914,access healthcar provid,1,3,4
915,access healthi food,8,2,10
916,access high qualiti,11,1,12
917,access higher educ,35,9,44
918,access highqual afford,5,2,7
919,access highqual care,1,7,8
920,access highqual educ,3,2,5
921,access highqual health,5,3,8
922,access highskil worker,1,2,3
923,access hospit doctor,1,1,2
924,access hospit rural,1,1,2
925,access hundr million,1,1,2
926,access hunt fish,5,4,9
927,access import program,1,1,2
928,access import servic,1,2,3
929,access individu disabl,3,1,4
930,access inform let,1,1,2
931,access inform need,4,2,6
932,access inform purpos,1,1,2
933,access intern market,1,2,3
934,access internet nt,1,1,2
935,access job preserv,3,17,20
936,access job train,2,3,5
937,access justic act,3,16,19
938,access justic law,6,1,7
939,access land improv,1,5,6
940,access legal opinion,1,1,2
941,access lifesav medic,2,1,3
942,access lifesav trauma,2,3,5
