Top 100 republican and democrat bigrams and trigrams,,,,,,,,,,
bigram_democrat,bigram_r_freq,,bigram_republican,bigram_d_freq,,trigram_democrat,trigram_d_freq,,trigram_republican,trigram_r_freq
,,,,,,,,,famili medic leav,4
,,,,,,,,,strengthen middl class,4
,,,,,,,,,join honor life,4
,,,,,,,,,two leader designe,3
,,,,,,,,,debat motion order,3
,,,,,,,,,print record presid,3
,,,,,,,,,would like announc,3
,,,,,,,,,address climat chang,3
,,,,,,,,,morn busi pm,3
,,,,,,,,,republican govern shutdown,3
,,,,,,,,,divid two leader,3
,,,,,,,,,minimum wage worker,3
,,,,,,,,,women health care,3
,,,,,,,,,major control first,3
,,,,,,,,,inform regard meet,3
,,,,,,,,,meet pleas contact,3
,,,,,,,,,regard meet pleas,3
,,,,,,,,,rollcal vote agre,3
,,,,,,,,,room sd628 dirksen,3
,,,,,,,,,sd628 dirksen senat,3
,,,,,,,,,speaker great respect,3
,,,,,,,,,labor pension meet,3
,,,,,,,,,resourc unit state,3
,,,,,,,,,resum consider motion,3
,,,,,,,,,consider motion proceed,3
,,,,,,,,,mani commun across,3
,,,,,,,,,unanim consent bring,3
,,,,,,,,,prevent health care,3
,,,,,,,,,defeat previou question,2
,,,,,,,,,rule xxii waiv,2
,,,,,,,,,tea parti republican,2
,,,,,,,,,quorum rule xxii,2
,,,,,,,,,mandatori quorum rule,2
,,,,,,,,,state rhode island,2
,,,,,,,,,effect climat chang,2
,,,,,,,,,amend aye rollcal,2
,,,,,,,,,minut gentlewoman california,2
,,,,,,,,,record presid immedi,2
,,,,,,,,,set asid day,2
,,,,,,,,,cut food stamp,2
,,,,,,,,,submit follow proclam,2
,,,,,,,,,day honor recogn,2
,,,,,,,,,action debat nomin,2
,,,,,,,,,offer amend rule,2
,,,,,,,,,speaker parliamentari inquiri,2
,,,,,,,,,support home state,2
,,,,,,,,,ask member join,2
,,,,,,,,,privat student loan,2
,,,,,,,,,presid offic state,2
,,,,,,,,,build pm conduct,2
,,,,,,,,,busi pm senat,2
,,,,,,,,,mr speaker parliamentari,2
,,,,,,,,,confirm motion reconsid,2
,,,,,,,,,defund afford care,2
,,,,,,,,,maryland mr hoyer,2
,,,,,,,,,farm bill take,2
,,,,,,,,,minut time equal,2
,,,,,,,,,reed rhode island,2
,,,,,,,,,vote without interven,2
,,,,,,,,,attain hard work,1
,,,,,,,,,consent adjourn previou,1
,,,,,,,,,delta sigma theta,1
