"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"282029",282029,"medic devic",67,338,405,1.54608069816758e-05
"61403",61403,"budget amend",25,247,272,1.54490017165984e-05
"391808",391808,"young peopl",960,454,1414,1.54343415866873e-05
"177110",177110,"famili peer",1,183,184,1.53496368949729e-05
"332192",332192,"rest live",221,15,236,1.53316823947666e-05
"314560",314560,"princ william",199,7,206,1.52582928610839e-05
"94001",94001,"commun notabl",2,184,186,1.51845792669125e-05
"93568",93568,"commun eagl",1,181,182,1.51791341048197e-05
"223596",223596,"highest distinct",1,181,182,1.51791341048197e-05
"287669",287669,"mr chairman",2045,2992,5037,1.51621828799577e-05
"93248",93248,"commun across",328,64,392,1.51590446051235e-05
"315648",315648,"proceed consider",297,49,346,1.51559239644109e-05
"386079",386079,"work allow",216,14,230,1.51266565269847e-05
"287234",287234,"motion order",189,4,193,1.51202266549798e-05
"333216",333216,"revis extend",219,600,819,1.51101456265282e-05
"350773",350773,"special young",3,186,189,1.51082086254189e-05
"371194",371194,"troop earn",2,183,185,1.50993573572651e-05
"254206",254206,"januari day",6,194,200,1.50680509050493e-05
"172148",172148,"extend remark",219,599,818,1.50493104411947e-05
"224892",224892,"histori month",242,25,267,1.50373787453946e-05
"143348",143348,"domest violenc",563,197,760,1.50264965009008e-05
"7135",7135,"activ troop",3,185,188,1.50230335032798e-05
"325887",325887,"reduc deficit",446,128,574,1.50200773870277e-05
"136132",136132,"develop work",211,13,224,1.49228258793087e-05
"355887",355887,"strive make",208,12,220,1.48887629618584e-05
"125723",125723,"debt nation",14,213,227,1.48747156296362e-05
"327810",327810,"religi freedom",102,396,498,1.47980191487853e-05
"271490",271490,"lo angel",448,131,579,1.47968485212188e-05
"320414",320414,"public servic",951,459,1410,1.46334935616508e-05
"172756",172756,"extrem weather",231,23,254,1.45230666250883e-05
"303326",303326,"particip mani",10,198,208,1.44884808341863e-05
"257526",257526,"keep doctor",6,187,193,1.44734476389713e-05
"189485",189485,"food tabl",294,52,346,1.44314439882245e-05
"359267",359267,"suspend rule",106,398,504,1.44235700042101e-05
"368023",368023,"today ve",11,199,210,1.43504879601734e-05
"348184",348184,"snap benefit",219,19,238,1.43301319155314e-05
"25289",25289,"america troop",5,182,187,1.42849178231299e-05
"36125",36125,"ask immedi",30,244,274,1.42508293070353e-05
"335794",335794,"ryan budget",253,34,287,1.42484637876624e-05
"349947",349947,"speak minut",360,87,447,1.4215485748657e-05
"312884",312884,"prescript drug",348,81,429,1.41680853293454e-05
"391097",391097,"year trillion",27,236,263,1.41612372965137e-05
"44463",44463,"balanc budget",281,680,961,1.41224233285645e-05
